material type,SA,TPV,C,H,N,O,T,P,CO2
Microporous,581.0,0.35,67.78,1.24,11.48,19.5,25,1.0,2.55
Microporous,447.0,0.22,71.9,1.37,11.5,15.48,25,1.0,1.48
Microporous,447.0,0.22,71.9,1.37,11.5,15.48,25,1.0,1.48
Microporous,1012.0,0.44,75.5,0.95,8.01,,25,1.0,3.0
Microporous,1012.0,0.44,75.5,0.95,8.01,,0,1.0,4.8
Mesoporous,537.0,0.47,65.31,2.71,13.1,,25,1.0,2.8
Microporous,486.0,0.42,58.16,3.35,9.33,29.16,0,1.0,2.73
Microporous,486.0,0.42,58.16,3.35,9.33,29.16,0,0.15,1.09
Microporous,650.0,0.53,57.53,3.51,11.33,27.63,0,1.0,3.29
Microporous,650.0,0.53,57.53,3.51,11.33,27.63,0,0.15,1.41
Microporous,394.0,0.27,67.94,3.27,8.48,20.31,0,1.0,2.84
Microporous,394.0,0.27,67.94,3.27,8.48,20.31,0,0.15,1.39
Microporous,798.0,0.54,58.94,3.68,9.05,28.33,0,1.0,3.86
Microporous,798.0,0.54,58.94,3.68,9.05,28.33,0,0.15,1.68
Microporous,1518.0,1.11,58.81,2.24,9.71,29.24,0,1.0,4.7
Microporous,1518.0,1.11,58.81,2.24,9.71,29.24,0,0.15,1.59
Hierarchical,1574.0,1.5,59.7,1.24,11.3,,0,1.0,5.98
Hierarchical,1574.0,1.5,59.7,1.24,11.3,,25,1.0,3.82
Hierarchical,1126.0,1.56,59.4,1.97,10.2,,0,1.0,5.23
Hierarchical,1126.0,1.56,59.4,1.97,10.2,,25,1.0,3.16
Microporous,862.0,0.5,71.98,1.1,14.48,12.44,0,1.0,4.5
Microporous,862.0,0.5,71.98,1.1,14.48,12.44,25,1.0,2.91
Hierarchical,1023.0,0.686,86.6,1.0,8.1,4.3,25,1.0,1.73
Hierarchical,283.0,0.79,57.78,2.34,35.73,4.15,25,1.0,1.86
Hierarchical,336.0,0.7,53.61,2.34,37.72,6.34,25,1.0,1.86
Hierarchical,302.0,0.71,52.36,2.13,39.77,5.74,25,1.0,1.86
Hierarchical,284.0,0.58,50.31,2.34,40.88,6.47,25,1.0,7.81
Hierarchical,520.0,1.06,56.17,1.92,30.97,10.94,25,1.0,2.16
Hierarchical,490.0,0.91,53.81,1.92,32.31,11.96,25,1.0,2.25
Hierarchical,488.0,0.99,51.89,1.81,33.92,12.38,25,1.0,2.0
Hierarchical,476.0,0.72,51.67,1.81,34.45,12.08,25,1.0,2.07
Hierarchical,829.0,1.66,63.7,1.6,24.73,9.97,25,1.0,2.09
Hierarchical,791.0,1.3,60.26,1.49,26.25,12.0,25,1.0,2.16
Hierarchical,876.0,1.64,62.52,1.38,27.37,8.73,25,1.0,2.02
Hierarchical,818.0,1.05,58.96,1.49,27.31,12.25,25,1.0,2.09
Hierarchical,639.0,0.35,56.13,27.5,11.56,4.81,25,1.0,3.2
Microporous,1095.0,1.06,82.19,4.11,13.7,,0,1.0,3.93
Microporous,1095.0,1.06,82.19,4.11,13.7,,25,1.0,2.26
Microporous,923.0,0.69,80.23,3.88,15.89,,0,1.0,3.35
Microporous,923.0,0.69,80.23,3.88,15.89,,25,1.0,1.92
Mesoporous,890.0,0.68,,,18.78,,25,0.2,1.05
Mesoporous,890.0,0.68,,,18.78,,25,1.0,2.21
Mesoporous,925.0,0.75,,,16.09,,25,0.2,0.81
Mesoporous,925.0,0.75,,,16.09,,25,1.0,1.81
Microporous,1107.0,0.69,,,12.8,,25,0.2,1.38
Microporous,1107.0,0.69,,,12.8,,25,1.0,3.68
Microporous,1181.0,0.73,,,12.91,,25,0.2,1.75
Microporous,1181.0,0.73,,,12.91,,25,1.0,4.5
Hierarchical,550.0,0.9,69.0,3.0,17.8,10.2,25,1.0,2.9
Microporous,848.0,0.451,90.57,0.0,9.43,0.0,0,1.0,2.89
Microporous,848.0,0.451,90.57,0.0,9.43,0.0,25,1.0,2.2
Microporous,766.0,0.403,83.02,0.0,16.98,0.0,0,1.0,3.64
Microporous,766.0,0.403,83.02,0.0,16.98,0.0,25,1.0,2.11
Microporous,751.0,0.387,89.63,0.0,10.37,0.0,0,1.0,3.55
Microporous,751.0,0.387,89.63,0.0,10.37,0.0,25,1.0,2.23
Mesoporous,540.0,,72.8,4.9,19.5,,25,1.0,2.43
Mesoporous,526.0,,67.4,21.9,4.8,,25,1.0,2.48
Mesoporous,514.0,,66.8,26.1,4.7,,25,1.0,2.53
Microporous,614.0,,65.1,,10.5,,25,0.1,1.62
Microporous,614.0,,65.1,,10.5,,25,1.0,4.04
Microporous,1004.0,,68.8,,12.9,,25,0.1,1.03
Microporous,1004.0,,68.8,,12.9,,25,1.0,4.03
Mesoporous,726.0,,67.8,,17.4,,25,0.1,0.84
Mesoporous,726.0,,67.8,,17.4,,25,1.0,2.34
