serial,sample id,material type,SA,TPV,MPV,C,H,N,O,T,P,CO2,ref
93,,Microporous,1241.7,0.68,,75.72,1.02,14.52,8.68,25,0.15,0.97,16
94,,Microporous,1241.7,0.68,,75.72,1.02,14.52,8.68,25,1,2.75,16
95,NHPC-2.0,Microporous,1172.1,0.59,,75.35,1.12,16.28,7.25,0,0.15,1.82,16
96,,Microporous,1172.1,0.59,,75.35,1.12,16.28,7.25,0,1,4.26,16
97,,Microporous,1172.1,0.59,,75.35,1.12,16.28,7.25,25,0.15,0.81,16
98,,Microporous,1172.1,0.59,,75.35,1.12,16.28,7.25,25,1,2.12,16
99,NPC500,Microporous,1082,2.578,,,,9.44,12.65,0,1,5.36,17
100,,Microporous,1082,2.578,,,,9.44,12.65,25,1,3.78,17
101,,Microporous,1082,2.578,,,,9.44,12.65,25,0.15,1.29,17
102,NPC600,Microporous,1793,0.865,,,,8.02,10.86,0,1,7.6,17
103,,Microporous,1793,0.865,,,,8.02,10.86,25,1,5.01,17
104,,Microporous,1793,0.865,,,,8.02,10.86,25,0.15,1.38,17
105,NCF-DEA,Microporous,1064,0.5356,,70.4,1.2,10.2,16,0,1,4.57,18
106,,Microporous,1064,0.5356,,70.4,1.2,10.2,16,25,1,2.96,18
107,NCF-MEA,Microporous,567,0.2981,,69.2,1.2,12.7,14.3,0,1,2.7,18
108,,Microporous,567,0.2981,,69.2,1.2,12.7,14.3,25,1,1.94,18
109,PC-550-1,Microporous,855,0.45,,64.76,3.87,13.05,,0,1,4.19,19
110,,Microporous,855,0.45,,64.76,3.87,13.05,,25,1,3.33,19
111,PC-550-2,Microporous,1338,0.68,,66.54,4.01,11.32,,0,1,5.03,19
112,,Microporous,1338,0.68,,66.54,4.01,11.32,,25,1,3.57,19
113,PC-550-3,Microporous,1655,0.78,,68.54,4.92,9.84,,0,1,5.61,19
114,,Microporous,1655,0.78,,68.54,4.92,9.84,,25,1,3.77,19
115,MFC-600-0.1,Microporous,278,0.15,,58.18,3.86,16.07,,25,1,2.02,20
116,,Microporous,278,0.15,,58.18,3.86,16.07,,0,1,2.55,20
117,MFC-600-0.2,Microporous,895,0.43,,57.94,3.59,15.51,,25,1,2.74,20
118,,Microporous,895,0.43,,57.94,3.59,15.51,,0,1,3.76,20
119,MFC-650-0.1,Microporous,435,0.22,,59.64,3.12,15.23,,25,1,2.06,20
120,,Microporous,435,0.22,,59.64,3.12,15.23,,0,1,2.72,20
121,MFC-650-0.2,Microporous,1070,0.57,,59.11,3.82,13.97,,25,1,2.86,20
122,,Microporous,1070,0.57,,59.11,3.82,13.97,,0,1,4.28,20
123,MFC-700-0.1,Microporous,768,0.37,,60.65,3.41,14.72,,25,1,2.88,20
124,,Microporous,768,0.37,,60.65,3.41,14.72,,0,1,4.25,20
125,MFC-700-0.2,Microporous,1658,0.96,,64.13,4.04,13.38,,25,1,3.3,20
126,,Microporous,1658,0.96,,64.13,4.04,13.38,,0,1,4.95,20
127,MFC-750-0.1,Microporous,554,0.28,,58.26,2.6,11.64,,25,1,2.54,20
128,,Microporous,554,0.28,,58.26,2.6,11.64,,0,1,3.226,20
129,MFC-750-0.2,Microporous,1373,0.87,,60.34,2.98,9.67,,25,1,2.47,20
130,,Microporous,1373,0.87,,60.34,2.98,9.67,,0,1,3.79,20
131,PFKC-650-1,Microporous,540,0.24,,63.01,2.84,15.21,,25,1,2.87,21
132,PFKC-650-1,Microporous,540,0.24,,63.01,2.84,15.21,,0,1,3.69,21
133,PFKC-650-2,Microporous,749,0.46,,64.87,2.34,13.35,,25,1,3.18,21
134,PFKC-650-2,Microporous,749,0.46,,64.87,2.34,13.35,,0,1,4.37,21
135,PFKC-650-3,Microporous,772,0.35,,62.31,3.4,11.23,,25,1,3.18,21
136,PFKC-650-3,Microporous,772,0.35,,62.31,3.4,11.23,,0,1,4.4,21
137,PFKC-700-1,Microporous,1323,0.58,,65.98,3.63,11.78,,25,1,3.61,21
138,PFKC-700-1,Microporous,1323,0.58,,65.98,3.63,11.78,,0,1,5.5,21
139,PFKC-700-2,Microporous,1545,0.7,,69.68,4.1,8.54,,25,1,3.83,21
140,PFKC-700-2,Microporous,1545,0.7,,69.68,4.1,8.54,,0,1,5.84,21
141,HCP-1,Microporous,434,0.25,,52.93,3.81,9.55,,0,1,1.95,
142,HCP-1,Microporous,434,0.25,,52.93,3.81,9.55,,0,0.1,0.61,
143,HCP-1,Microporous,434,0.25,,52.93,3.81,9.55,,25,1,1.11,
144,MC,Hierarchical,188,0.34,,81.4,0.6,12,,0,1,3.11,
145,MC,Hierarchical,188,0.34,,81.4,0.6,12,,25,1,2.3,
146,GN,Microporous,5,0.02,,60.1,5.24,17.14,,25,1,0.67,
147,GN,Microporous,5,0.02,,60.1,5.24,17.14,,0,1,1.01,
148,GN-600-1,Microporous,821,0.42,,65.54,2.14,12.17,,25,1,3.99,
149,GN-600-1,Microporous,821,0.42,,65.54,2.14,12.17,,0,1,5.33,
150,GN-600-2,Microporous,1267,0.54,,64.89,2.15,11.93,,25,1,4.24,
151,GN-600-2,Microporous,1267,0.54,,64.89,2.15,11.93,,0,1,6.23,
152,GN-600-3,Microporous,1398,0.6,,63.54,2.16,11.67,,25,1,4.02,
153,GN-600-3,Microporous,1398,0.6,,63.54,2.16,11.67,,0,1,6.11,
154,GN-600-4,Microporous,1412,0.63,,62.21,2.12,11.23,,25,1,3.93,
155,GN-600-4,Microporous,1412,0.63,,62.21,2.12,11.23,,0,1,5.9,
156,GN-650-1,Microporous,1734,0.78,,75.01,1.41,9.24,,25,1,4.26,
157,GN-650-1,Microporous,1734,0.78,,75.01,1.41,9.24,,0,1,6.7,
158,GN-650-2,Microporous,1960,0.9,,74.32,1.35,8.56,,25,1,4.23,
159,GN-650-2,Microporous,1960,0.9,,74.32,1.35,8.56,,0,1,6.14,
160,NGC-650-4,Microporous,1824,0.92,,71.66,1.97,7.74,,25,1,3.92,
161,NGC-650-4,Microporous,1824,0.92,,71.66,1.97,7.74,,0,1,6.23,
